GEN_TPS_1	GEN_TPS_2	gen_predetermined_commit
Oahu_H-Power	2022060618	42.80000001
Oahu_H-Power	2022060620	42.80000001
Oahu_H-Power	2022060622	42.80000001
Oahu_H-Power	2022080600	42.80000001
Oahu_H-Power	2022080602	42.80000001
Oahu_H-Power	2022080604	42.80000001
Oahu_H-Power	2022080606	42.80000001
Oahu_H-Power	2022080608	42.80000001
Oahu_H-Power	2022080610	42.80000001
Oahu_H-Power	2022080612	42.80000001
Oahu_H-Power	2022080614	42.80000001
Oahu_H-Power	2022080616	42.80000001
Oahu_H-Power	2022080618	42.80000001
Oahu_H-Power	2022080620	42.80000001
Oahu_H-Power	2022080622	42.80000001
Oahu_H-Power	2022100600	42.80000001
Oahu_H-Power	2022100602	42.80000001
Oahu_H-Power	2022100604	42.80000001
Oahu_H-Power	2022100606	42.80000001
Oahu_H-Power	2022100608	42.80000001
Oahu_H-Power	2022100610	42.80000001
Oahu_H-Power	2022100612	42.80000001
Oahu_H-Power	2022100614	42.80000001
Oahu_H-Power	2022100616	42.80000001
Oahu_H-Power	2022100618	42.80000001
Oahu_H-Power	2022100620	42.80000001
Oahu_H-Power	2022100622	42.80000001
Oahu_H-Power	2022120600	42.80000001
Oahu_H-Power	2022120602	42.80000001
Oahu_H-Power	2022120604	42.80000001
Oahu_H-Power	2022120606	42.80000001
Oahu_H-Power	2022120608	42.80000001
Oahu_H-Power	2022120610	42.80000001
Oahu_H-Power	2022120612	42.80000001
Oahu_H-Power	2022120614	42.80000001
Oahu_H-Power	2022120616	42.80000001
Oahu_H-Power	2022120618	42.80000001
Oahu_H-Power	2022120620	42.80000001
Oahu_H-Power	2022120622	42.80000001
Oahu_H-Power	2025021000	42.80000001
Oahu_H-Power	2025021002	42.80000001
Oahu_H-Power	2025021004	42.80000001
Oahu_H-Power	2025021006	42.80000001
Oahu_H-Power	2025021008	42.80000001
Oahu_H-Power	2025021010	42.80000001
Oahu_H-Power	2025021012	42.80000001
Oahu_H-Power	2025021014	42.80000001
Oahu_H-Power	2025021016	42.80000001
Oahu_H-Power	2025021018	42.80000001
Oahu_H-Power	2025021020	42.80000001
Oahu_H-Power	2025021022	42.80000001
Oahu_H-Power	2025041000	42.80000001
Oahu_H-Power	2025041002	42.80000001
Oahu_H-Power	2025041004	42.80000001
Oahu_H-Power	2025041006	42.80000001
Oahu_H-Power	2025041008	42.80000001
Oahu_H-Power	2025041010	42.80000001
Oahu_H-Power	2025041012	42.80000001
Oahu_H-Power	2025041014	42.80000001
Oahu_H-Power	2025041016	42.80000001
Oahu_H-Power	2025041018	42.80000001
Oahu_H-Power	2025041020	42.80000001
Oahu_H-Power	2025041022	42.80000001
Oahu_H-Power	2025061000	42.80000001
Oahu_H-Power	2025061002	42.80000001
Oahu_H-Power	2025061004	42.80000001
Oahu_H-Power	2025061006	42.80000001
Oahu_H-Power	2025061008	42.80000001
Oahu_H-Power	2025061010	42.80000001
Oahu_H-Power	2025061012	42.80000001
Oahu_H-Power	2025061014	42.80000001
Oahu_H-Power	2025061016	42.80000001
Oahu_H-Power	2025061018	42.80000001
Oahu_H-Power	2025061020	42.80000001
Oahu_H-Power	2025061022	42.80000001
Oahu_H-Power	2025081000	42.80000001
Oahu_H-Power	2025081002	42.80000001
Oahu_H-Power	2025081004	42.80000001
Oahu_H-Power	2025081006	42.80000001
Oahu_H-Power	2025081008	42.80000001
Oahu_H-Power	2025081010	42.80000001
Oahu_H-Power	2025081012	42.80000001
Oahu_H-Power	2025081014	42.80000001
Oahu_H-Power	2025081016	42.80000001
Oahu_H-Power	2025081018	42.80000001
Oahu_H-Power	2025081020	42.80000001
Oahu_H-Power	2025081022	42.80000001
Oahu_H-Power	2025101000	42.80000001
Oahu_H-Power	2025101002	42.80000001
Oahu_H-Power	2025101004	42.80000001
Oahu_H-Power	2025101006	42.80000001
Oahu_H-Power	2025101008	42.80000001
Oahu_H-Power	2025101010	42.80000001
Oahu_H-Power	2025101012	42.80000001
Oahu_H-Power	2025101014	42.80000001
Oahu_H-Power	2025101016	42.80000001
Oahu_H-Power	2025101018	42.80000001
Oahu_H-Power	2025101020	42.80000001
Oahu_H-Power	2025101022	42.80000001
Oahu_H-Power	2025121000	42.80000001
Oahu_H-Power	2025121002	42.80000001
Oahu_H-Power	2025121004	42.80000001
Oahu_H-Power	2025121006	42.80000001
Oahu_H-Power	2025121008	42.80000001
Oahu_H-Power	2025121010	42.80000001
Oahu_H-Power	2025121012	42.80000001
Oahu_H-Power	2025121014	42.80000001
Oahu_H-Power	2025121016	42.80000001
Oahu_H-Power	2025121018	42.80000001
Oahu_H-Power	2025121020	42.80000001
Oahu_H-Power	2025121022	42.80000001
Oahu_H-Power	2030021400	42.80000001
Oahu_H-Power	2030021402	42.80000001
Oahu_H-Power	2030021404	42.80000001
Oahu_H-Power	2030021406	42.80000001
Oahu_H-Power	2030021408	42.80000001
Oahu_H-Power	2030021410	42.80000001
Oahu_H-Power	2030021412	42.80000001
Oahu_H-Power	2030021414	42.80000001
Oahu_H-Power	2030021416	42.80000001
Oahu_H-Power	2030021418	42.80000001
Oahu_H-Power	2030021420	42.80000001
Oahu_H-Power	2030021422	42.80000001
Oahu_H-Power	2030041400	42.80000001
Oahu_H-Power	2030041402	42.80000001
Oahu_H-Power	2030041404	42.80000001
Oahu_H-Power	2030041406	42.80000001
Oahu_H-Power	2030041408	42.80000001
Oahu_H-Power	2030041410	42.80000001
Oahu_H-Power	2030041412	42.80000001
Oahu_H-Power	2030041414	42.80000001
Oahu_H-Power	2030041416	42.80000001
Oahu_H-Power	2030041418	42.80000001
Oahu_H-Power	2030041420	42.80000001
Oahu_H-Power	2030041422	42.80000001
Oahu_H-Power	2030061400	42.80000001
Oahu_H-Power	2030061402	42.80000001
Oahu_H-Power	2030061404	42.80000001
Oahu_H-Power	2030061406	42.80000001
Oahu_H-Power	2030061408	42.80000001
